DATE,COUNTRY,YEAR,HFA
1993-07-22,ESP,1993,98.6
1994-07-22,ESP,1994,102.9
1995-07-22,ESP,1995,90.5
1996-07-22,ESP,1996,65.1
1997-07-22,ESP,1997,86.3
1998-07-22,ESP,1998,90.9
1999-07-22,ESP,1999,87.5
2000-07-22,ESP,2000,78.3
2001-07-22,ESP,2001,89.1
2002-07-22,ESP,2002,69.3
2003-07-22,ESP,2003,62.6
2004-07-22,ESP,2004,65.1
2005-07-22,ESP,2005,55.9
2006-07-22,ESP,2006,66.2
2007-07-22,ESP,2007,62.2
2008-07-22,ESP,2008,71.4
2009-07-22,ESP,2009,75.4
2010-07-22,ESP,2010,84.6
2011-07-22,ESP,2011,98.8
2012-07-22,ESP,2012,84.1
2013-07-22,ESP,2013,91.5
2014-07-22,ESP,2014,74.5
2015-07-22,ESP,2015,68.0
2016-07-22,ESP,2016,83.2
2017-07-22,ESP,2017,84.3
2018-07-22,ESP,2018,85.1
2019-07-22,ESP,2019,82.2
2020-07-22,ESP,2020,67.4
2021-07-22,ESP,2021,54.5
2022-07-22,ESP,2022,56.4
