,DIST_long ENG1 2017_2018,DIST_long ENG1 2018_2019,DIST_short ENG1 2017_2018,DIST_short ENG1 2018_2019
0,Man City (60.56),Man City (61.56),Tottenham (59.53),Man City (61.01)
1,Chelsea (59.88),Crystal Palace (59.07),Chelsea (59.35),Crystal Palace (59.03)
2,Arsenal (59.53),Man United (58.51),Arsenal (58.46),Man United (57.45)
3,Tottenham (59.0),Tottenham (56.57),Man City (57.77),Tottenham (56.95)
4,Liverpool (56.26),Arsenal (55.2),Liverpool (56.67),Everton (55.45)
5,Swansea (56.14),Everton (54.29),Swansea (53.7),Arsenal (54.54)
6,Southampton (52.94),Chelsea (54.2),Man United (53.57),Liverpool (54.19)
7,Man United (52.66),Liverpool (53.29),Southampton (53.09),Chelsea (54.04)
8,West Ham (51.65),Bournemouth (52.04),West Ham (52.99),Burnley (51.87)
9,Bournemouth (51.33),Burnley (51.47),Bournemouth (51.94),Bournemouth (51.68)
10,Leicester (49.21),West Ham (50.6),Everton (50.16),West Ham (50.97)
11,Stoke (49.09),Newcastle (50.54),Leicester (49.71),Leicester (50.86)
12,Newcastle (48.86),Leicester (50.38),Brighton (49.7),Newcastle (50.51)
13,Everton (48.61),Southampton (49.29),Crystal Palace (49.11),Southampton (49.57)
14,Brighton (48.56),Huddersfield (48.74),Burnley (49.04),Huddersfield (48.85)
15,Crystal Palace (48.52),Cardiff (48.17),Stoke (48.5),Brighton (47.84)
16,West Brom (48.43),Wolves (47.59),Huddersfield (48.36),Cardiff (47.68)
17,Burnley (47.93),Watford (47.58),West Brom (48.3),Watford (47.6)
18,Huddersfield (47.55),Brighton (47.47),Newcastle (47.84),Wolves (47.11)
19,Watford (46.89),Fulham (47.32),Watford (46.95),Fulham (46.99)
